Date,Open,High,Low,Close,Adj Close,Volume,RS,RSI
08-02-2021,588.200012,595.400024,582.25,592.25,592.25,4623898,3.749480663,78.9450664
08-03-2021,604,604,594.150024,599.400024,599.400024,5165607,4.220301111,80.84401687
08-04-2021,603.5,604,594.299988,596.799988,596.799988,4509356,2.363102688,70.26555259
08-05-2021,597.5,614.5,597.5,600.900024,600.900024,11294364,1.970871524,66.33984365
08-06-2021,603.75,606.400024,596.299988,598,598,5270200,1.70680421,63.05606456
08-09-2021,600,606,595.5,596.799988,596.799988,4646751,1.888028008,65.37429702
08-10-2021,598.400024,608.950012,593.099976,603.849976,603.849976,7027782,2.769795672,73.47336336
08-11-2021,601.900024,606.5,598.450012,601.25,601.25,4282513,1.747804917,63.60731456
08-12-2021,602,608.900024,600.650024,605.849976,605.849976,3952508,1.293856925,56.40530196
8/13/2021,606,620.450012,606,615.5,615.5,8364684,2.776590358,73.52108899
8/16/2021,616.099976,620.900024,610.5,614.049988,614.049988,3572426,2.453370176,71.04277998
8/17/2021,613.75,637.049988,611.200012,634.900024,634.900024,11822772,3.762050124,79.00064103
8/18/2021,635.75,639.200012,624.599976,629.400024,629.400024,6923577,2.992323088,74.95192704
8/20/2021,622.5,631.950012,618,620.049988,620.049988,6170693,2.285150024,69.55998988
8/23/2021,626,636.950012,623.5,628.849976,628.849976,7036375,2.429681201,70.84277105
8/24/2021,636,636,624.099976,633.549988,633.549988,4483718,2.333977966,70.00580058
8/25/2021,635,642.799988,629.549988,631.650024,631.650024,6407718,2.39959849,70.58476162
8/26/2021,632.200012,638.5,626,628.950012,628.950012,4208351,2.016302587,66.8468275
8/27/2021,629.5,636,625.299988,634.950012,634.950012,4371554,2.495951176,71.39548153
8/30/2021,635.950012,639.5,630.549988,632.450012,632.450012,4371855,2.371154769,70.33657401
8/31/2021,634.599976,642.549988,628.900024,640.950012,640.950012,7795908,2.426924462,70.81931594
09-01-2021,643.799988,647.349976,635.25,642.049988,642.049988,4725222,2.743587442,73.28765481
09-02-2021,645,657,640.75,651.450012,651.450012,4538778,2.948717488,74.67532172
09-03-2021,653,656.700012,649.5,655.099976,655.099976,3774970,2.692304931,72.91664641
09-06-2021,656.650024,688.700012,656.650024,686.450012,686.450012,12338416,4.298404757,81.12639472
09-07-2021,690,690,672.75,674.25,674.25,6406109,2.152267887,68.27680782
09-08-2021,675.400024,675.400024,660,662.200012,662.200012,6716231,1.805896273,64.36076381
09-09-2021,660.900024,664.549988,654,662.349976,662.349976,5805730,2.349282947,70.14286294
9/13/2021,662.349976,671.849976,657.849976,670.75,670.75,5587367,2.336524915,70.02869676
